ID,Vareflyt,År,Måned,Varenr,Landkode,Mengde,Verdi
404727,Eksport,2022,8,03048100,GB,91549,11020625
404736,Eksport,2022,8,03048200,CA,24544,3628038
404831,Eksport,2022,8,03053910,DK,1030220,15441320
404837,Eksport,2022,8,03054100,CA,2288,402958
404838,Eksport,2022,8,03054100,DK,14,2529
404857,Eksport,2022,8,03054100,GB,1512,302464
404866,Eksport,2022,8,03054300,CA,96374,14894860
405376,Eksport,2022,9,03021411,CA,83263,5860188
405871,Eksport,2022,9,03044100,AU,20295,3134480
405874,Eksport,2022,9,03044100,DK,394860,37010932
405902,Eksport,2022,9,03044100,GB,176145,19837368
405992,Eksport,2022,9,03048100,AU,196517,25681480
405994,Eksport,2022,9,03048100,CA,199537,31429590
405995,Eksport,2022,9,03048100,DK,98198,7778342
406020,Eksport,2022,9,03048100,GB,70329,8565111
406034,Eksport,2022,9,03048200,CA,50841,7058920
406138,Eksport,2022,9,03053910,DK,999446,13833547
406147,Eksport,2022,9,03054100,DK,8,1224
406176,Eksport,2022,9,03054300,CA,102660,16236359
406767,Eksport,2022,10,03021411,CA,7247,559579
407309,Eksport,2022,10,03044100,DK,157392,16997044
407338,Eksport,2022,10,03044100,GB,193287,22533816
407416,Eksport,2022,10,03048100,AU,189072,24105160
407418,Eksport,2022,10,03048100,CA,111772,18374284
407420,Eksport,2022,10,03048100,DK,103153,8890554
407449,Eksport,2022,10,03048100,GB,85865,11797996
407462,Eksport,2022,10,03048200,AU,40,5009
407463,Eksport,2022,10,03048200,CA,43438,5746331
407571,Eksport,2022,10,03053910,DK,175200,3291590
407578,Eksport,2022,10,03054100,CA,3440,604451
407580,Eksport,2022,10,03054100,DK,172,30331
407605,Eksport,2022,10,03054100,GB,2516,547934
407616,Eksport,2022,10,03054300,CA,85374,12063504
407617,Eksport,2022,10,03054300,DK,8,3561
408252,Eksport,2022,11,03021411,CA,3778,358549
408789,Eksport,2022,11,03044100,DK,366701,32462608
408795,Eksport,2022,11,03044100,IE,1823,220539
408821,Eksport,2022,11,03044100,GB,191504,26795096
408902,Eksport,2022,11,03048100,AU,182749,24000080
408904,Eksport,2022,11,03048100,CA,209773,29390624
408905,Eksport,2022,11,03048100,DK,139787,11395488
408915,Eksport,2022,11,03048100,IE,8474,1109561
408931,Eksport,2022,11,03048100,GB,138280,17851576
408943,Eksport,2022,11,03048200,CA,11929,1902745
409067,Eksport,2022,11,03053910,DK,285510,4737531
409073,Eksport,2022,11,03054100,CA,2708,455641
409074,Eksport,2022,11,03054100,DK,1401,303852
409080,Eksport,2022,11,03054100,IE,513,127897
409097,Eksport,2022,11,03054100,GB,18,5199
409111,Eksport,2022,11,03054300,CA,37623,5777040
409112,Eksport,2022,11,03054300,DK,4,1855
